"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2024-01-01","0","124","12","0.0967741935483871","0","0","1","1","0","0","8","0","0","0","2","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-02","0","78","3","0.038461538461538464","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-03","0","42","1","0.023809523809523808","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-04","0","36","1","0.027777777777777776","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-05","0","35","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-06","0","29","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-07","0","32","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-08","0","19","2","0.10526315789473684","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-09","0","19","1","0.05263157894736842","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-10","0","12","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-11","0","7","2","0.2857142857142857","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-12","0","9","1","0.1111111111111111","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-13","0","5","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-14","0","247","7","0.02834008097165992","0","1","2","0","0","0","2","0","0","0","2","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-15","0","1954","171","0.08751279426816785","0","25","27","6","16","3","56","0","0","0","35","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-16","0","3699","90","0.024330900243309004","1","14","19","9","16","1","7","0","0","0","23","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-17","0","809","61","0.0754017305315204","1","7","13","6","8","1","12","0","0","0","8","0","0","8","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-18","0","1370","97","0.0708029197080292","7","14","17","7","6","2","35","0","0","0","4","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-19","0","1337","138","0.10321615557217652","7","26","19","14","11","0","30","0","0","0","24","0","0","24","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-20","0","1613","98","0.06075635461872288","5","11","12","7","7","2","15","0","0","0","32","0","0","12","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-21","0","829","39","0.047044632086851626","1","6","1","5","4","0","7","0","0","0","15","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-22","0","757","22","0.02906208718626156","0","4","4","3","0","1","2","0","0","0","8","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-23","0","1314","39","0.02968036529680365","1","1","8","3","2","0","9","0","0","0","14","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-24","0","3196","68","0.02127659574468085","7","4","13","4","8","0","7","0","0","0","25","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-25","0","1076","46","0.04275092936802974","2","3","3","4","16","0","4","0","0","0","13","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-26","0","1014","45","0.04437869822485207","2","6","5","3","0","3","9","0","0","0","11","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-27","0","543","19","0.034990791896869246","0","0","0","0","2","0","3","0","0","0","7","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-28","0","278","23","0.08273381294964029","0","4","4","0","3","0","6","0","0","0","6","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-29","0","157","7","0.044585987261146494","0","0","0","0","0","0","2","0","0","0","5","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-30","0","772","27","0.034974093264248704","0","3","11","2","2","1","0","0","0","0","8","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2024-01-31","0","975","22","0.022564102564102566","0","1","8","1","2","0","6","0","0","0","4","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
